,sentence
0,ya saliste ?
1,.
2,no pero todavía no cada palabra hace and and ...
3,ay Dios mío .
4,.
5,hace .
6,oh my God .
7,.
8,.
9,.
10,.
11,mira y qué haces ?
12,mira cuando los otros van para el carnival center a las tres ...
13,mhm .
14,y a las cinco vamos para el Miami Fair .
15,hello .
16,el carnival center ?
17,que hay como una cosa en el carnival center .
18,ahí al lado de la escuela en el carnival center .
19,hay alguna actividad de tres a cinco como live music y todas estas cosas .
20,y luego vamos para el Miami_fair donde están los roller_coasters a las cinco .
21,pero tú tienes la boda hoy verdad ?
22,bueno pues ...
23,si no estás haciendo nada me llamas .
24,okay .
25,un besote .
26,ay mija salí a las once de la noche de allá .
27,cállate .
28,cállate que me quiero morir .
29,ah ?
30,"ay , sí ."
31,pero como quieran no me lo han pagado .
32,con cheque .
33,claro que no .
34,a nadie .
35,let's see .
36,si no .
37,okay un beso a ella también bye bye .
38,yo sé que ella no va a salir con nosotros hoy a beber porque hoy es el día que ella sale con Ronald .
39,pero como me da ...
40,no no no no that's nice .
41,that's nice .
42,mira ven a ver la foto de la nueva Miss Miss USA .
43,cómo es ?
44,oh .
45,se parece a Tyra Banks .
46,you think ?
47,yeah .
48,she is pretty .
49,is really pretty .
50,Miss USA .
51,Miss US of A .
52,y entonces .
53,.
54,.
55,tienes que poner conversación tal vez porque hello .
56,I think it's supposed to be natural .
57,okay okay .
58,tu invento no quema ni nada de eso no ?
59,bueno pero tenemos que ...
60,ay pues sí .
61,oye Majo .
62,sure .
63,le hablo .
64,no pero es muy temprano todavía está durmiendo .
65,qué pena .
66,.
67,dile a mami que si viene no podemos invitar a más nadie .
68,mhm .
69,no cabemos .
70,va a ir este ...
71,bueno creo que ella pero no Kathy .
72,mhm .
73,oh tengo los volunteer forms para lo de el Aids Walk .
74,oh vamos a llenar eso .
75,a ver eh bueno ...
76,oh okay my microphone .
77,.
78,when we volunteer vas a tener también Pam y la hermana del Majo .
79,so .
80,no I'm telling you so that you know .
81,pero van a poner a los cinco juntos ?
82,uhuh .
83,"o tú y Lucía juntos y luego Pam , y yo juntos ."
84,uhuh .
85,por qué yo con Lucía ?
86,because she likes you .
87,ah right .
88,a ver ...
89,she likes Pam too .
90,huh ?
91,she's only seen her that one time .
92,you got a pen ?
93,whatever .
94,you have a pen ?
95,okey_dokey .
96,okay .
97,a ver a ver ...
98,a ti te encanta ponerme de mal humor because I know te encanta ...
99,.
100,a ver .
101,ay bueno whatever maybe I won't do it .
102,fine you don't want me to do yours okay .
103,because I need to submit it online by Monday .
104,are you sure you don't want me to do it then ?
105,no .
106,okay .
107,I'm joking .
108,all together .
109,a ver .
110,cuáles son las preguntas ?
111,él debe tener mil preguntas .
112,okay .
113,okay what's your phone number ?
114,you don't know my phone number ?
115,you know I don't .
116,five eight seven six two .
117,five eight seven .
118,six two .
119,okay four five five .
120,north street unit Miami Florida three three one three seven .
121,three three seven right .
122,three three one three seven .
123,hey what's your email address ?
124,wwwlal uno a .
125,we are actually gonna be working on a project for set up at the botanical gardens .
126,we have to be there at six thirty in the morning .
127,hm ?
128,and it's from six thirty to eleven .
129,okay .
130,hm ?
131,are you serious ?
132,yeah .
133,on Saturday ?
134,no it's actually Sunday Sunday the twentieth .
135,y cuando es que viene tu amiga ?
136,no era hoy que llegaba ?
137,she comes that weekend .
138,but I think I'm gonna hang out with her on Saturday .
139,mhm .
140,imagínate .
141,I don't know where she gets in if she gets in on Friday .
142,and then we have that stupid concert thing right ?
143,on the nineteenth .
144,what concert ?
145,the Bacardi_Live .
146,concert .
147,if you want to if I can't go do you wanna go with somebody else ?
148,no the Bacardi concert you would love it .
149,I'm okay seriously .
150,I mean we haven't been to a concert ever .
151,but I mean if you have to hang out with her on Friday instead of Saturday that's fine .
152,but if not we just go to the concert .
153,okay ?
154,okay come and sign this .
155,this is the consent form .
156,and you gotta sign both right there and date it .
157,.
158,mhm .
159,and then print your name sign and date this one .
160,what's today's date ?
161,just put the twelve .
162,July four twelve right ?
163,here .
164,thank you sir .
165,you got Majo's ?
166,I got Majo's Pam's and Lucía's .
167,but you know what let me go ahead .
168,I'm gonna also email Majo and Pam their forms .
169,so that they know .
170,sí por favor .
171,.
172,hm hm hm .
173,parece que se me antoja un café de Starbucks .
174,ay that sounds good .
175,wasn't it near the Starbucks they opened that one the one the ?
176,the other one right there in front of the Publix .
177,.
178,hm ?
179,we can go to that one too .
180,.
181,okay let's see .
182,attached .
183,can you ..?
184,will find the consent application form to volunteer .
185,okay .
186,we all have been assigned .
187,tú sabes .
188,wait a second .
189,for the same project a setup of the botanical gardens .
190,tú sabes que nosotros no hemos ido a tu casa a recoger la sheet .
191,y hay que lavar todo eso de cuando Helena estaba allá .
192,sí ella lo lavó .
193,y el cubrecamas y todo ?
194,sí .
195,por el perrito digo .
196,porque si yo me voy para allá luego me da alergia .
197,hm no .
198,pues no vayas .
199,gracias si quieres vete tú .
200,te quedas por allá .
201,y yo quemo todo aquí .
202,.
203,ahora la televisión te la quemo .
204,huh ?
205,.
206,el ladrón que roba al ladrón tiene cien años de .
207,mira deberíamos de hacer la dieta esta semana otra vez .
208,ay no .
209,oye dónde está la hoja de events and promotions porque ...
210,ah tú la tenías anoche .
211,tú la pusiste en uno de los folders .
212,hoy tenemos que faxearlo .
213,pero lo faxeo el lunes igual .
214,llega la fax del trabajo ahora .
215,qué ?
216,si llega la fax del trabajo ahora ...
217,a qué horas trabajas ?
218,no trabajo .
219,dijo que iba a pasar a dejar la película .
220,y pasar por el trabajo un momento .
221,.
222,adelante .
223,pero tú me puedes acompañar unos cinco minutos .
224,nos vamos al Starbucks .
225,sabes lo que quiere hacer el que estaba ahí ?
226,él la trabaja para ...
227,cuál el flaquito ?
228,ah no no el moreno .
229,bajito ?
230,mhm .
231,compañía que sí .
232,these are your resources yo creo .
233,ah dámelo déjame verlo .
234,que se llama marketing works .
235,mhm .
236,and then he said that they are really good actually to work with ...
237,sí precisamente están a mi altura .
238,mira .
239,one twenty seven over eighty nine es mi blood pressure .
240,y debe estar en ...
241,en one twenty eighty .
242,el cholesterol tengo ciento veinte gramos .
243,and what should it be ?
244,less than two .
245,less than two hundred .
246,and where are you ?
247,ciento veinte .
248,that's good .
249,sí yo no tengo colesterol .
250,blood glucose .
251,if one meal last eight hours .
252,yo no había comido verdad .
253,eighty seven .
254,so I'm low in glucose .
255,body composition .
256,twenty to twenty nine twenty one to thirty two .
257,I have twenty five percent .
258,the body mass density .
259,I think those people are still walking .
260,I think it was twenty four hours .
261,bueno .
262,for the Cancer Walk .
263,qué horror coming up .
264,ah pero tú ves dice que no tengo osteoporosis todavía .
265,mira .
266,qué te dice ?
267,normal es above negative one .
268,I have negative one point seven .
269,so I'm point seven below what I have to be .
270,hm no tengo la menor idea fíjate .
271,okay .
272,negative one is right here .
273,negative one point seven es past that .
274,so you have to be above that to be to be going to the positive you know .
275,mhm .
276,so like negative point seven or zero or one or two or three .
277,and normal is above that .
278,osteopenia qué es eso osteopenia ?
279,búscalo en el internet .
280,okay .
281,es between one and two point five negative one and negative two point five so I have osteopenia .
282,and osteoporosis is below negative two point five so right now my body doesn't have osteoporosis .
283,but it's still low .
284,body mass index .
285,twenty six point eight .
286,I'm overweight .
287,and my waist is fine .
288,.
289,we need to start working out .
290,I was talking to Pam el otro día .
291,mhm .
292,and she is saying that he is willing to come here .
293,and that we can jog to the house and beach .
294,pero why don't we all go to the gym if he is willing to come here ?
295,no like jogging is the this ...
296,but you know what you guys can jog in to lose the weight blah blah blah .
297,but you have no arms .
298,you need to do arms .
299,you need to lift weighs to get arm .
300,mhm .
301,you know your body ...
302,and I have to do situps because I don't have to lose weight in my whole body .
303,I have to lose weight in my stomach .
304,maybe we can do both things .
305,no you guys concentrate on one thing .
306,that's why your legs are so strong because that's the only thing that you are exercising .
307,vale .
308,see like how nice would be if you had your brother's arms ?
309,te gustaban los de .
310,ah ?
311,porque te gustaban los ...
312,ah pues hello .
313,.
314,hi brother .
315,.
316,.
317,I think we should do gym three times a week and run two times a week .
318,I don't wanna run with you .
319,hm ?
320,I don't wanna run with you I'll go gym though .
321,why don't you wanna run with me ?
322,I don't know .
323,let's see ...
324,thank you .
325,because I'm handicapped .
326,let's see .
327,you can go run with Sian .
328,and go to the gym with Sian .
329,I'll go to the gym by myself .
330,or we can go to the gym together .
331,no thank you .
332,oyes qué decía antes de que ...
333,no .
334,tenemos que hablar .
335,.
336,qué hay en el cine en el AMC ?
337,.
338,tienes la película de que tienen ahora en español también .
339,no .
340,.
341,y qué otra película tienen ?
342,hm .
343,a ver .
344,por qué no vamos al cine mañana mejor ?
345,después quedan no sé o Sun_Set_Plaza .
346,.
347,a ver .
348,no either one .
349,I think Sun_Set place would be easier to find parking .
350,it would be cheaper too .
351,.
352,tiene Ten_Thousand_B_C .
353,Twenty_One College_Road_Trip .
354,.
355,Leatherheads .
356,Love_Sickness esa película mal de amores la puertorriqueña .
357,that looks interesting .
358,hm .
359,Prom_Night The_Ruins .
360,lo has .
361,oh Smart_People looks good actually .
362,what ?
363,Smart_People .
364,.
365,that has Sarah_Jessica_Parker the girl from Juno .
366,that one ?
367,mhm .
368,Sarah_Jessica_Parker and the girl from Juno in what movie ?
369,it's called Smart_People .
370,okay we wanna watch that one .
371,and they have a showing actually at twelve twenty .
372,and one at two thirty five .
373,we can watch that one .
374,and then we can just come over here .
375,and go to the carnival center .
376,the two thirty ?
377,mhm .
378,come back .
379,bueno ya .
380,es que eso will be over by three four .
381,it will be over by four .
382,oh at three .
383,fine three and three to five .
384,you wanna go to Two_Twenty_One ?
385,we could .
386,it's gonna make for a long day there no ?
387,we can .
388,but why don't be go tomorrow ?
389,we have something else to do tomorrow .
390,okay .
391,we decide .
392,bueno así mañana porque es que qué hay que hacer mañana ?
393,.
394,no sé .
395,oye I need to get a haircut soon .
396,.
397,.
398,I want to get a haircut .
399,should we do it today or tomorrow ?
400,we can do that today instead you know we can go out because it's by the Starbucks the haircut place over here cuts .
401,okay .
402,I can't believe my mom didn't mention that she was going to Mexico today .
403,yeah .
404,mhm .
405,and she is coming up for a whole week .
406,porque te conté de la que se ?
407,mhm .
408,parece ser que tenía planes de ir en julio .
409,y después tenía planes de ir en mayo .
410,verdad que así es really bad .
411,.
412,nunca fue de allá .
413,hm .
414,have you seen that talking stain commercial ?
415,yeah .
416,verdad ?
417,super .
418,.
419,ya lo tienes ahí ?
420,mhm .
421,.
422,ves ?
423,no finish your call .
424,.
425,I can feel .
426,isn't that funny ?
427,yes .
428,.
429,que preguntarle a si me quiere hacer el corte de pelo hoy .
430,.
431,hoy ?
432,yo no tengo dinero para estar jodiendo .
433,ay tan .
434,no pero es para que me haga esto .
435,Tania te voy a buscar en un ratito para que me hagas el trim de mi pelo por favor con la máquina .
436,pero yo te llamo así como en una hora .
437,bye .
438,okay .
439,.
440,y la llevo para atrás para que se vaya a ver a todo el mundo .
441,mhm .
442,.
443,es así tan rude con mis amigos Dios mío .
444,si quieres yo voy a y luego a recogerte .
445,huh .
446,while I'm doing my haircut .
447,mhm .
448,you can ...
449,your haircut is fine really .
450,.
451,por qué así no pueden ser mis amigos ?
452,yo no la máquina para que bien .
453,ves como que ella .
454,bueno ya son las y cuarenta casi casi .
455,pero él tiene que venir de camino .
456,deja que llame .
457,como quiera .
458,deja que llame .
459,sí sí sí no tranquilo ya .
460,tranquilo .
461,vamos allá .
462,no no espérate espérate espérate .
463,I was so tired yesterday .
464,but I really wanted to go out .
465,tú ni siquiera te bañaste .
466,I went to the beach too .
467,quieres que quedar contigo ?
468,mhm .
469,me asustas .
470,y el tuyo ?
471,mhm I have it ...
472,a ver cómo ?
473,deben estar en la sala esta .
474,right maybe we should head over there then .
475,.
476,.
477,oíste tú sabes la /.
478,mhm .
479,ah esta detrás de la .
480,esto está dando vueltas así .
481,oye sabes qué el se está muriendo .
482,ponlo a cargar .
483,okay .
484,.
485,no brother .
486,no wait un momento porque sino las cosas ...
487,ay .
488,it's a nice day for the beach actually .
489,you wanna go .
490,maybe tomorrow .
491,.
492,.
493,where are my cigarettes ?
494,.
495,maybe we can have a cigarette .
496,.
497,.
498,mhm .
499,.
500,.
501,te compraste un lighter finalmente ?
502,hm ?
503,compraste un lighter ?
504,oh they are mine buddy .
505,mine and yours .
506,uhhuh uhhuh .
507,toma .
508,no I have my own .
509,pero por eso te estoy preguntando que si compraste un lighter porque no lo conozco .
510,I had this for a long time .
511,but you always think that it's yours .
512,ay ya please .
513,.
514,.
515,que ya venga no .
516,con Pam .
517,.
518,it's fine .
519,is that okay ?
520,it's fine .
521,porque nunca hacemos nada solos me entiendes ?
522,that's fine .
523,you don't have to explain anything .
524,ahora .
525,.
526,tengo una hambre de mil diablos te cuento eh .
527,ahora te dio hambre ?
